model_name,target_column,model_type,primary_feature,feature_count,feature_list,nobs,dropped_rows,r2,adj_r2,explained_variance,model_pvalue,aic,bic,summary_path
Pairwise OLS: price ~ wind_speed_10m + generation_forecast,price,pairwise,wind_speed_10m + generation_forecast,2,"wind_speed_10m, generation_forecast",96133,204,0.0797,0.0796,0.0797,0.0,1104580.01,1104608.43,regression_outputs/pair_wind_speed_10m__generation_forecast_summary.txt
Pairwise OLS: price ~ wind_speed_10m + shortwave_radiation,price,pairwise,wind_speed_10m + shortwave_radiation,2,"wind_speed_10m, shortwave_radiation",96337,0,0.0461,0.0461,0.0461,0.0,1110215.4,1110243.83,regression_outputs/pair_wind_speed_10m__shortwave_radiation_summary.txt
Pairwise OLS: price ~ cloud_cover + wind_speed_10m,price,pairwise,cloud_cover + wind_speed_10m,2,"cloud_cover, wind_speed_10m",96337,0,0.0385,0.0385,0.0385,0.0,1110981.73,1111010.16,regression_outputs/pair_cloud_cover__wind_speed_10m_summary.txt
Pairwise OLS: price ~ temperature_2m + wind_speed_10m,price,pairwise,temperature_2m + wind_speed_10m,2,"temperature_2m, wind_speed_10m",96337,0,0.0381,0.038,0.0381,0.0,1111027.6,1111056.02,regression_outputs/pair_temperature_2m__wind_speed_10m_summary.txt
Pairwise OLS: price ~ wind_speed_10m + total_load,price,pairwise,wind_speed_10m + total_load,2,"wind_speed_10m, total_load",96326,11,0.0369,0.0368,0.0369,0.0,1111023.97,1111052.4,regression_outputs/pair_wind_speed_10m__total_load_summary.txt
Pairwise OLS: price ~ shortwave_radiation + total_load,price,pairwise,shortwave_radiation + total_load,2,"shortwave_radiation, total_load",96326,11,0.0123,0.0122,0.0123,1.4427981294166306e-258,1113454.47,1113482.89,regression_outputs/pair_shortwave_radiation__total_load_summary.txt
Pairwise OLS: price ~ shortwave_radiation + generation_forecast,price,pairwise,shortwave_radiation + generation_forecast,2,"shortwave_radiation, generation_forecast",96133,204,0.0123,0.0122,0.0123,5.054012048462595e-258,1111376.02,1111404.44,regression_outputs/pair_shortwave_radiation__generation_forecast_summary.txt
Pairwise OLS: price ~ temperature_2m + shortwave_radiation,price,pairwise,temperature_2m + shortwave_radiation,2,"temperature_2m, shortwave_radiation",96337,0,0.0116,0.0116,0.0116,6.639588162949627e-245,1113640.68,1113669.11,regression_outputs/pair_temperature_2m__shortwave_radiation_summary.txt
Pairwise OLS: price ~ cloud_cover + shortwave_radiation,price,pairwise,cloud_cover + shortwave_radiation,2,"cloud_cover, shortwave_radiation",96337,0,0.0109,0.0109,0.0109,3.8947624302978227e-230,1113708.69,1113737.12,regression_outputs/pair_cloud_cover__shortwave_radiation_summary.txt
Pairwise OLS: price ~ temperature_2m + total_load,price,pairwise,temperature_2m + total_load,2,"temperature_2m, total_load",96326,11,0.0015,0.0015,0.0015,3.160031937121078e-32,1114496.84,1114525.26,regression_outputs/pair_temperature_2m__total_load_summary.txt
Pairwise OLS: price ~ temperature_2m + generation_forecast,price,pairwise,temperature_2m + generation_forecast,2,"temperature_2m, generation_forecast",96133,204,0.0016,0.0015,0.0016,2.1458644535858492e-33,1112410.5,1112438.92,regression_outputs/pair_temperature_2m__generation_forecast_summary.txt
Pairwise OLS: price ~ temperature_2m + cloud_cover,price,pairwise,temperature_2m + cloud_cover,2,"temperature_2m, cloud_cover",96337,0,0.0009,0.0008,0.0009,7.753069973516902e-19,1114681.79,1114710.22,regression_outputs/pair_temperature_2m__cloud_cover_summary.txt
Pairwise OLS: price ~ total_load + generation_forecast,price,pairwise,total_load + generation_forecast,2,"total_load, generation_forecast",96133,204,0.0008,0.0008,0.0008,1.1759168990337963e-17,1112482.99,1112511.41,regression_outputs/pair_total_load__generation_forecast_summary.txt
Pairwise OLS: price ~ cloud_cover + generation_forecast,price,pairwise,cloud_cover + generation_forecast,2,"cloud_cover, generation_forecast",96133,204,0.0005,0.0005,0.0005,5.9468979356321535e-12,1112509.25,1112537.68,regression_outputs/pair_cloud_cover__generation_forecast_summary.txt
Pairwise OLS: price ~ cloud_cover + total_load,price,pairwise,cloud_cover + total_load,2,"cloud_cover, total_load",96326,11,0.0003,0.0003,0.0003,6.286711811929127e-07,1114613.34,1114641.77,regression_outputs/pair_cloud_cover__total_load_summary.txt
